DATE,OECDLOLITOAASTSAM
1993-04-01,98.8161473922763
1993-05-01,98.8347930154912
1993-06-01,98.8733917425549
1993-07-01,98.9490285840658
1993-08-01,99.0656428571999
1993-09-01,99.2146923263968
1993-10-01,99.3909976470335
1993-11-01,99.5797827855152
1993-12-01,99.772131825972
1994-01-01,99.953964876613
1994-02-01,100.107750253169
1994-03-01,100.242685380178
1994-04-01,100.363786412997
1994-05-01,100.475170339741
1994-06-01,100.590623731196
1994-07-01,100.701739215845
1994-08-01,100.795286409651
1994-09-01,100.838866381367
1994-10-01,100.813597544745
1994-11-01,100.71009061973
1994-12-01,100.526607764718
1995-01-01,100.288156441187
1995-02-01,100.046153669878
1995-03-01,99.8286816136009
1995-04-01,99.6660076909199
1995-05-01,99.5762036837731
1995-06-01,99.551828574789
1995-07-01,99.5737367221287
1995-08-01,99.6086133573026
1995-09-01,99.6269140668114
1995-10-01,99.6291353155632
1995-11-01,99.6206268603949
1995-12-01,99.6063467085972
1996-01-01,99.5946040427992
1996-02-01,99.5983311237962
1996-03-01,99.6197656729823
1996-04-01,99.6545238445845
1996-05-01,99.6935332463423
1996-06-01,99.7317566634414
1996-07-01,99.7708655076685
1996-08-01,99.8137022007573
1996-09-01,99.8659743856929
1996-10-01,99.9222428756729
1996-11-01,99.9763745549768
1996-12-01,100.034511542469
1997-01-01,100.098761472686
1997-02-01,100.171742574105
1997-03-01,100.252545362037
1997-04-01,100.336185580425
1997-05-01,100.417262779332
1997-06-01,100.496511234023
1997-07-01,100.563739041957
1997-08-01,100.603115169149
1997-09-01,100.613046460506
1997-10-01,100.581327599687
1997-11-01,100.511230098052
1997-12-01,100.41798076113
1998-01-01,100.318072882816
1998-02-01,100.217607447935
1998-03-01,100.109897983302
1998-04-01,99.9874318702986
1998-05-01,99.8473046881325
1998-06-01,99.6882624531088
1998-07-01,99.5178678471577
1998-08-01,99.3527014649154
1998-09-01,99.2233834973494
1998-10-01,99.16322645695
1998-11-01,99.1952400636118
1998-12-01,99.3074127779859
1999-01-01,99.4775258579931
1999-02-01,99.670038526279
1999-03-01,99.8598311825306
1999-04-01,100.041674148469
1999-05-01,100.211488683454
1999-06-01,100.369363127709
1999-07-01,100.515520378741
1999-08-01,100.653326793934
1999-09-01,100.788161751635
1999-10-01,100.925459775444
1999-11-01,101.061200066234
1999-12-01,101.182771254405
2000-01-01,101.278787941094
2000-02-01,101.331851314882
2000-03-01,101.34372889342
2000-04-01,101.317097311239
2000-05-01,101.253025030126
2000-06-01,101.159073299692
2000-07-01,101.037460776893
2000-08-01,100.888347995764
2000-09-01,100.704417528455
2000-10-01,100.477194498125
2000-11-01,100.211531615732
2000-12-01,99.9208017696646
2001-01-01,99.6374033584737
2001-02-01,99.3904736641902
2001-03-01,99.1931924336519
2001-04-01,99.0447072381355
2001-05-01,98.9346994860825
2001-06-01,98.8380906490181
2001-07-01,98.7478112104001
2001-08-01,98.6639642015218
2001-09-01,98.6044735702392
2001-10-01,98.6145506363356
2001-11-01,98.716132134455
2001-12-01,98.8975558964216
